loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,peak_vram_mb
0.9597,6.808414936065674,7.618320610687024e-06,0.95,500,,,,,,,,,,,,2523.22
,,,1.0,524,0.6969904899597168,0.7547709923664122,0.755253739389092,1.1348,923.499,58.159,,,,,,2523.22
0.6496,10.080729484558105,1.1640373197625107e-05,1.91,1000,,,,,,,,,,,,2523.22
,,,2.0,1048,0.6346703171730042,0.7929389312977099,0.7948560856615248,1.143,916.915,57.745,,,,,,2523.22
0.5756,8.0147123336792,1.07921967769296e-05,2.86,1500,,,,,,,,,,,,2523.22
,,,3.0,1572,0.6403211951255798,0.8024809160305344,0.8057351416463722,1.1104,943.786,59.437,,,,,,2523.22
0.5108,17.108192443847656,9.944020356234097e-06,3.82,2000,,,,,,,,,,,,2523.22
,,,4.0,2096,0.6413813233375549,0.8091603053435115,0.811301043033875,1.1093,944.763,59.498,,,,,,2523.22
0.4642,12.545256614685059,9.095843935538591e-06,4.77,2500,,,,,,,,,,,,2523.22
,,,5.0,2620,0.6564108729362488,0.8187022900763359,0.8213294797142389,1.1318,925.973,58.315,,,,,,2523.22
0.4237,7.553850173950195,8.247667514843087e-06,5.73,3000,,,,,,,,,,,,2523.22
,,,6.0,3144,0.6869507431983948,0.8129770992366412,0.8147323479656848,1.1317,926.069,58.321,,,,,,2523.22
0.3962,2.9778048992156982,7.401187446988974e-06,6.68,3500,,,,,,,,,,,,2523.22
,,,7.0,3668,0.7110283970832825,0.8139312977099237,0.8162605159488571,1.0501,997.967,62.849,,,,,,2523.22
,,,7.0,3668,,,,,,,408.5361,307.757,19.239,1943132689580544.0,0.5604663482799135,2523.22
,,,7.0,3668,0.6564108729362488,0.8187022900763359,0.8213294797142389,1.182,886.599,55.835,,,,,,2523.22
